"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Ctch%"
"LAR",145,"Cooper Kupp*+",28,"WR",191,1947,16,"75.9%"
"GNB",123,"Davante Adams*+",29,"WR",169,1553,11,"72.8%"
"KAN",111,"Tyreek Hill*",27,"WR",159,1239,9,"69.8%"
"MIN",108,"Justin Jefferson*",22,"WR",167,1616,10,"64.7%"
"BAL",107,"Mark Andrews*+",26,"TE",153,1361,9,"69.9%"
"PIT",107,"Diontae Johnson*",25,"WR",169,1161,8,"63.3%"
"LAC",106,"Keenan Allen*",29,"WR",157,1138,6,"67.5%"
"MIA",104,"Jaylen Waddle",23,"WR",140,1015,6,"74.3%"
"BUF",103,"Stefon Diggs*",28,"WR",164,1225,10,"62.8%"
"LVR",103,"Hunter Renfrow*",26,"WR",128,1038,9,"80.5%"
"TAM",98,"Chris Godwin",25,"WR",127,1103,5,"77.2%"
"CAR",93,"D.J. Moore",24,"WR",163,1157,4,"57.1%"
"HOU",90,"Brandin Cooks",28,"WR",134,1037,6,"67.2%"
"DET",90,"Amon-Ra St. Brown",22,"WR",119,912,5,"75.6%"
"IND",88,"Michael Pittman Jr.",24,"WR",129,1082,6,"68.2%"
"NWE",83,"Jakobi Meyers",25,"WR",126,866,2,"65.9%"
"CIN",81,"Ja'Marr Chase*",21,"WR",128,1455,13,"63.3%"
"CHI",81,"Darnell Mooney",24,"WR",140,1055,4,"57.9%"
"DAL",79,"CeeDee Lamb*",22,"WR",120,1102,6,"65.8%"
"ARI",77,"Christian Kirk",25,"WR",103,982,5,"74.8%"
"WAS",77,"Terry McLaurin",26,"WR",130,1053,5,"59.2%"
"SFO",77,"Deebo Samuel*+",25,"WR",121,1405,6,"63.6%"
"SEA",75,"D.K. Metcalf",24,"WR",129,967,12,"58.1%"
"2TM",74,"Zach Ertz",31,"TE",112,763,5,"66.1%"
"JAX",73,"Marvin Jones",31,"WR",120,832,4,"60.8%"
"DEN",68,"Noah Fant",24,"TE",90,670,4,"75.6%"
"ATL",68,"Kyle Pitts*",21,"TE",110,1026,1,"61.8%"
"PHI",64,"DeVonta Smith",23,"WR",104,916,5,"61.5%"
"TEN",63,"A.J. Brown",24,"WR",105,869,5,"60.0%"
"CLE",52,"Jarvis Landry",29,"WR",87,570,2,"59.8%"
"NYJ",51,"Jamison Crowder",28,"WR",71,447,2,"71.8%"
"NOR",47,"Alvin Kamara*",26,"RB",67,439,5,"70.1%"
"NYG",46,"Evan Engram",27,"TE",73,408,3,"63.0%"
"3TM",7,"Phillip Dorsett",28,"WR",14,110,0,"50.0%"
