"Tm","Tgt","Rec","Player","Age","Pos","Yds","TD","Ctch%"
"DAL",181,135,"CeeDee Lamb*+",24,"WR",1749,12,"74.6%"
"MIA",171,119,"Tyreek Hill*+",29,"WR",1799,13,"69.6%"
"DET",164,119,"Amon-Ra St. Brown*+",24,"WR",1515,10,"72.6%"
"JAX",143,114,"Evan Engram*",29,"TE",963,4,"79.7%"
"IND",156,109,"Michael Pittman Jr.",26,"WR",1152,4,"69.9%"
"LAC",150,108,"Keenan Allen*",31,"WR",1243,7,"72.0%"
"BUF",160,107,"Stefon Diggs*",30,"WR",1183,8,"66.9%"
"PHI",158,106,"A.J. Brown*",26,"WR",1456,7,"67.1%"
"LAR",160,105,"Puka Nacua*",22,"WR",1486,6,"65.6%"
"LVR",175,103,"Davante Adams",31,"WR",1144,8,"58.9%"
"CAR",137,103,"Adam Thielen",33,"WR",1014,4,"75.2%"
"CIN",145,100,"Ja'Marr Chase*",23,"WR",1216,7,"69.0%"
"CHI",136,96,"D.J. Moore",26,"WR",1364,8,"70.6%"
"MIN",127,95,"T.J. Hockenson",26,"TE",960,5,"74.8%"
"NYJ",168,95,"Garrett Wilson",23,"WR",1042,3,"56.5%"
"KAN",121,93,"Travis Kelce*",34,"TE",984,5,"76.9%"
"NOR",138,87,"Chris Olave",23,"WR",1123,5,"63.0%"
"ARI",106,81,"Trey McBride",24,"TE",825,3,"76.4%"
"HOU",109,80,"Nico Collins",24,"WR",1297,8,"73.4%"
"TAM",136,79,"Mike Evans*",30,"WR",1255,13,"58.1%"
"SEA",122,79,"Tyler Lockett",31,"WR",894,5,"64.8%"
"WAS",132,79,"Terry McLaurin",28,"WR",1002,4,"59.8%"
"BAL",108,77,"Zay Flowers",23,"WR",858,5,"71.3%"
"SFO",105,75,"Brandon Aiyuk",25,"WR",1342,7,"71.4%"
"TEN",137,75,"DeAndre Hopkins",31,"WR",1057,7,"54.7%"
"CLE",128,72,"Amari Cooper*",29,"WR",1250,5,"56.3%"
"ATL",110,69,"Drake London",22,"WR",905,2,"62.7%"
"PIT",106,63,"George Pickens",22,"WR",1140,5,"59.4%"
"GNB",96,59,"Romeo Doubs",23,"WR",674,8,"61.5%"
"DEN",90,59,"Courtland Sutton",28,"WR",772,10,"65.6%"
"NYG",79,50,"Darius Slayton",26,"WR",770,4,"63.3%"
"NWE",79,49,"Demario Douglas",23,"WR",561,0,"62.0%"
"2TM",43,20,"Van Jefferson",27,"WR",209,0,"46.5%"
"3TM",6,5,"Deon Jackson",24,"RB",14,0,"83.3%"
