,Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
0,1,Tua Tagovailoa*,MIA,25,QB,17,17,388,560,4624,9,14,2,24,4.4%,78,14.3%,430,79.0%
1,2,Jared Goff,DET,29,QB,17,17,407,605,4575,14,27,4,35,6.1%,87,15.2%,461,80.3%
2,3,Dak Prescott*,DAL,30,QB,17,17,410,590,4516,10,10,0,38,6.6%,68,11.7%,479,82.6%
3,4,Josh Allen,BUF,27,QB,17,17,385,579,4306,7,28,2,31,5.6%,78,14.2%,427,77.8%
4,5,Brock Purdy*,SFO,24,QB,16,16,308,444,4280,13,12,3,9,2.1%,70,16.3%,324,75.5%
5,6,Patrick Mahomes*,KAN,28,QB,16,16,401,597,4183,6,29,2,39,6.9%,75,13.3%,457,80.7%
6,7,Jordan Love,GNB,25,QB,17,17,372,579,4159,8,18,2,29,5.2%,98,17.5%,428,76.6%
7,8,C.J. Stroud*,HOU,22,QB,15,15,319,499,4108,9,16,6,18,3.8%,95,19.9%,357,74.8%
8,9,Baker Mayfield*,TAM,28,QB,17,17,364,566,4044,20,17,0,24,4.4%,81,14.8%,411,74.9%
9,10,Trevor Lawrence,JAX,24,QB,16,16,370,564,4016,16,12,0,24,4.3%,104,18.8%,410,74.3%
10,11,Matthew Stafford*,LAR,35,QB,15,15,326,521,3965,8,22,3,33,6.7%,94,19.0%,372,75.0%
11,12,Sam Howell,WAS,23,QB,17,17,388,612,3946,20,32,1,25,4.3%,88,15.2%,427,73.7%
12,13,Derek Carr,NOR,32,QB,17,17,375,548,3878,5,25,0,20,3.8%,80,15.3%,417,79.7%
13,14,Jalen Hurts*,PHI,25,QB,17,17,352,538,3858,14,35,0,19,3.8%,72,14.3%,397,78.9%
14,15,Lamar Jackson*+,BAL,26,QB,16,16,307,457,3678,9,15,1,22,5.0%,73,16.6%,326,73.9%
15,16,Geno Smith*,SEA,33,QB,15,15,323,499,3624,18,21,4,24,5.1%,69,14.6%,358,75.5%
16,17,Gardner Minshew II*,IND,27,QB,17,13,305,490,3305,16,25,0,26,5.6%,70,15.1%,345,74.2%
17,18,Justin Herbert,LAC,25,QB,13,13,297,456,3134,11,11,0,22,4.9%,71,16.0%,339,76.2%
18,19,Russell Wilson,DEN,35,QB,15,15,297,447,3070,11,26,4,17,4.1%,55,13.2%,325,77.9%
19,20,Bryce Young,CAR,22,QB,16,16,315,527,2877,6,46,1,23,4.8%,103,21.5%,352,73.3%
20,21,Desmond Ridder,ATL,24,QB,15,13,249,388,2836,12,11,2,17,4.5%,55,14.7%,283,75.5%
21,22,Justin Fields,CHI,24,QB,13,13,227,370,2562,11,25,0,13,3.8%,58,16.8%,252,73.0%
22,23,Joshua Dobbs,2TM,28,QB,13,12,262,417,2464,9,13,0,15,3.7%,67,16.6%,283,70.0%
23,24,Kirk Cousins,MIN,35,QB,8,8,216,311,2331,3,5,2,16,5.3%,39,12.8%,250,82.2%
24,25,Joe Burrow,CIN,27,QB,10,10,244,365,2309,10,11,1,21,5.9%,52,14.7%,267,75.6%
25,26,Zach Wilson,NYJ,24,QB,12,11,221,368,2271,8,20,3,22,6.4%,54,15.7%,267,77.4%
26,27,Aidan O'Connell,LVR,25,QB,11,10,213,343,2218,7,19,1,15,4.6%,56,17.3%,235,72.8%
27,28,Mac Jones,NWE,25,QB,11,11,224,345,2120,8,6,0,16,4.7%,54,15.9%,254,74.9%
28,29,Kenny Pickett,PIT,25,QB,12,12,201,324,2070,9,13,1,11,3.5%,57,18.4%,222,71.6%
29,30,Jake Browning,CIN,27,QB,9,7,171,243,1936,7,8,0,9,3.8%,23,9.8%,186,79.1%
30,31,Will Levis,TEN,24,QB,9,9,149,255,1808,5,7,2,12,4.9%,41,16.7%,165,67.1%
31,32,Kyler Murray,ARI,26,QB,8,8,176,268,1799,10,5,1,10,3.8%,35,13.4%,196,74.8%
32,33,Joe Flacco,CLE,38,QB,5,5,123,204,1616,3,7,0,9,4.6%,35,17.8%,138,70.1%
33,34,Ryan Tannehill,TEN,35,QB,10,8,149,230,1616,5,7,2,12,5.4%,31,14.0%,166,75.1%
34,35,Tyrod Taylor,NYG,34,QB,11,5,116,180,1341,1,8,6,11,6.6%,24,14.5%,134,80.7%
35,36,Nick Mullens,MIN,28,QB,5,3,100,148,1306,4,2,1,1,0.7%,29,20.0%,106,73.1%
36,37,Bailey Zappe,NWE,24,QB,10,6,127,212,1272,5,8,1,7,3.4%,41,20.2%,145,71.4%
37,38,Jimmy Garoppolo,LVR,32,QB,7,6,110,169,1205,5,3,1,5,3.0%,30,18.2%,117,70.9%
38,39,Easton Stick,LAC,28,QB,5,4,111,174,1129,5,3,1,8,4.7%,32,18.8%,121,71.2%
39,40,Deshaun Watson,CLE,28,QB,6,6,105,171,1115,4,5,1,12,7.3%,34,20.6%,118,71.5%
40,41,Tommy DeVito,NYG,25,QB,9,6,114,178,1101,7,10,0,8,4.8%,21,12.5%,129,76.8%
41,42,Daniel Jones,NYG,26,QB,6,6,108,160,909,5,7,0,6,3.9%,21,13.7%,120,78.4%
42,43,Taylor Heinicke,ATL,30,QB,5,4,74,136,890,2,6,2,8,6.3%,31,24.2%,89,69.5%
43,44,Tyson Bagent,CHI,23,QB,5,4,94,143,859,4,5,0,6,4.3%,19,13.8%,106,76.8%
44,45,Trevor Siemian,NYJ,32,QB,5,3,86,153,724,4,8,0,2,1.4%,33,22.8%,97,66.9%
45,46,Mason Rudolph,PIT,28,QB,4,3,55,74,719,1,5,0,0,0.0%,7,10.1%,57,82.6%
46,47,P.J. Walker,CLE,28,QB,6,2,54,111,674,4,3,1,6,5.6%,32,29.9%,61,57.0%
47,48,Mitchell Trubisky,PIT,29,QB,5,2,67,107,632,1,1,1,5,4.8%,20,19.0%,82,78.1%
48,49,Anthony Richardson,IND,21,QB,4,4,50,84,577,2,3,0,6,7.4%,17,21.0%,60,74.1%
49,50,Drew Lock,SEA,27,QB,4,2,48,76,543,4,1,0,6,8.0%,12,16.0%,54,72.0%
50,51,Jarrett Stidham,DEN,27,QB,3,2,40,66,496,0,4,0,2,3.2%,12,19.4%,43,69.4%
51,52,Dorian Thompson-Robinson,CLE,24,QB,8,3,60,112,440,2,4,2,11,10.4%,21,19.8%,74,69.8%
52,53,Andy Dalton,CAR,36,QB,3,1,34,58,361,2,1,0,5,8.8%,11,19.3%,39,68.4%
53,54,Tim Boyle,NYJ,29,QB,3,2,48,77,360,1,2,0,4,5.3%,18,24.0%,56,74.7%
54,55,C.J. Beathard,JAX,30,QB,7,1,40,53,349,1,3,0,2,4.0%,4,8.0%,42,84.0%
55,56,Sam Darnold,SFO,26,QB,10,1,28,46,297,0,0,1,0,0.0%,12,26.7%,31,68.9%
56,57,Case Keenum,HOU,35,QB,2,2,34,53,291,0,2,0,2,3.9%,7,13.7%,37,72.5%
57,58,Jameis Winston,NOR,29,QB,7,0,25,47,264,0,1,0,3,6.5%,10,21.7%,35,76.1%
58,59,Brian Hoyer,LVR,38,QB,3,1,23,42,231,1,0,0,1,2.4%,10,23.8%,24,57.1%
59,60,Jacoby Brissett,WAS,31,QB,3,0,18,23,224,0,1,0,1,4.5%,1,4.5%,19,86.4%
60,61,Tyler Huntley,BAL,25,QB,5,1,21,37,203,1,2,0,4,11.4%,7,20.0%,21,60.0%
61,62,Blaine Gabbert,KAN,34,QB,2,1,18,35,185,2,1,0,5,14.7%,6,17.6%,23,67.6%
62,63,Davis Mills,HOU,25,QB,6,0,18,39,173,1,1,0,4,10.5%,8,21.1%,24,63.2%
63,64,Brett Rypien,LAR,27,QB,2,1,18,38,172,4,1,0,2,5.4%,6,16.2%,27,73.0%
64,65,Jaren Hall,MIN,25,QB,3,2,13,20,168,0,1,0,0,0.0%,5,26.3%,14,73.7%
65,66,Jeff Driskel,CLE,30,QB,1,1,13,26,166,2,1,0,4,16.0%,4,16.0%,18,72.0%
66,67,Marcus Mariota,PHI,30,QB,3,0,15,23,164,2,0,0,0,0.0%,2,8.7%,18,78.3%
67,68,Carson Wentz,LAR,31,QB,2,1,17,24,163,0,0,0,1,4.2%,6,25.0%,18,75.0%
68,69,Cooper Rush,DAL,30,QB,7,0,18,24,144,0,0,0,0,0.0%,6,25.0%,18,75.0%
69,70,Taysom Hill,NOR,33,QB,16,7,6,11,83,1,0,0,0,0.0%,3,27.3%,7,63.6%
70,71,Mike White,MIA,28,QB,6,0,5,6,74,0,0,0,0,0.0%,0,0.0%,5,83.3%
71,72,Malik Willis,TEN,24,QB,3,0,4,5,74,0,0,0,0,0.0%,1,20.0%,4,80.0%
72,73,Clayton Tune,ARI,24,QB,7,1,12,21,62,3,0,0,1,4.8%,2,9.5%,15,71.4%
73,74,Keenan Allen*,LAC,31,WR,13,13,1,2,49,0,0,0,0,0.0%,1,50.0%,1,50.0%
74,75,Sean Clifford,GNB,25,QB,2,0,1,1,37,0,0,0,0,0.0%,0,0.0%,1,100.0%
75,76,Jalen Reeves-Maybin*,DET,28,LB,17,0,1,1,31,0,0,0,0,0.0%,0,0.0%,1,100.0%
76,77,Braden Mann,PHI,26,P,15,0,1,1,28,0,0,0,0,0.0%,0,0.0%,1,100.0%
77,78,Logan Woodside,ATL,28,QB,1,0,3,4,27,0,0,0,0,0.0%,0,0.0%,3,75.0%
78,79,Drake London,ATL,22,WR,16,16,1,1,22,0,0,0,0,0.0%,0,0.0%,1,100.0%
79,80,A.J. McCarron,CIN,33,QB,2,0,4,5,19,0,0,0,0,0.0%,1,20.0%,4,80.0%
80,81,Thomas Morstead,NYJ,37,P,17,0,1,1,18,0,0,0,0,0.0%,0,0.0%,1,100.0%
81,82,Kenneth Gainwell,PHI,24,RB,16,2,1,1,17,0,0,0,0,0.0%,0,0.0%,1,100.0%
82,83,Derrick Henry*,TEN,29,RB,17,17,2,3,14,0,0,0,0,0.0%,1,33.3%,2,66.7%
83,84,Dontayvion Wicks,GNB,22,WR,15,6,1,1,14,0,0,0,0,0.0%,0,0.0%,1,100.0%
84,85,Logan Cooke,JAX,28,P,17,0,1,1,13,0,0,0,0,0.0%,0,0.0%,1,100.0%
85,86,Jakobi Meyers,LVR,27,WR,16,16,2,3,12,0,1,0,0,0.0%,0,0.0%,2,100.0%
86,87,Tommy Townsend,KAN,27,P,17,0,1,1,11,0,0,0,0,0.0%,0,0.0%,1,100.0%
87,88,Johnny Hekker,CAR,33,P,17,0,1,1,7,0,0,0,0,0.0%,0,0.0%,1,100.0%
88,89,Devin Singletary,HOU,26,RB,17,10,1,1,6,0,0,0,0,0.0%,0,0.0%,1,100.0%
89,90,Dyami Brown,WAS,24,WR,17,1,1,1,4,0,0,0,0,0.0%,0,0.0%,1,100.0%
90,91,Jerick McKinnon,KAN,31,RB,12,0,1,1,4,0,0,0,0,0.0%,0,0.0%,1,100.0%
91,92,Tyler Boyd,CIN,29,WR,17,13,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%
92,93,Chris Godwin,TAM,27,WR,17,17,0,1,0,0,0,0,0,0.0%,0,0.0%,0,0.0%
93,94,Connor Heyward,PIT,24,TE,17,7,0,1,0,1,0,0,0,0.0%,0,0.0%,1,100.0%
94,95,DeAndre Hopkins,TEN,31,WR,17,16,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%
95,96,Justin Jefferson,MIN,24,WR,10,9,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%
96,97,Aaron Rodgers,NYJ,40,QB,1,1,0,1,0,0,1,0,0,0.0%,0,0.0%,0,0.0%
97,98,Deebo Samuel,SFO,27,WR,15,15,0,1,0,0,1,0,0,0.0%,0,0.0%,0,0.0%
98,99,Jonnu Smith,ATL,28,TE,17,6,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%
99,100,Kadarius Toney,KAN,24,WR,13,2,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%
100,101,Kyle Trask,TAM,25,QB,2,0,0,1,0,0,0,0,1,100.0%,0,0.0%,1,100.0%
