,Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
81,82,Nathan Peterman,LVR,26,QB,1,0,3,5,25,0,0,0,0,0.0%,1,20.0%,3,60.0%
82,83,Cedrick Wilson Jr.,DAL,25,WR,16,0,2,2,23,0,0,0,0,0.0%,0,0.0%,2,100.0%
83,84,Cole Beasley,BUF,31,WR,15,10,1,1,20,0,0,0,0,0.0%,0,0.0%,1,100.0%
84,85,A.J. McCarron,HOU,30,QB,2,0,1,1,20,0,0,0,0,0.0%,0,0.0%,0,0.0%
85,86,Odell Beckham Jr.,CLE,28,WR,7,7,1,1,18,0,0,0,0,0.0%,0,0.0%,1,100.0%
86,87,Tyler Bray,CHI,29,QB,1,0,1,5,18,0,0,1,0,0.0%,3,75.0%,1,25.0%
87,88,Golden Tate,NYG,32,WR,12,4,1,2,18,0,1,0,0,0.0%,0,0.0%,1,100.0%
88,89,Jacoby Brissett,IND,28,QB,11,0,2,8,17,0,1,0,1,14.3%,3,42.9%,4,57.1%
89,90,Tyler Boyd,CIN,26,WR,15,8,1,2,16,0,0,0,0,0.0%,1,50.0%,1,50.0%
90,91,Tyler Huntley,BAL,22,QB,2,0,3,5,15,0,0,0,0,0.0%,2,40.0%,3,60.0%
91,92,Sam Koch,BAL,38,P,15,0,1,1,15,0,0,0,0,0.0%,0,0.0%,0,0.0%
92,93,Greg Ward,PHI,25,WR,16,10,1,1,15,0,0,0,0,0.0%,0,0.0%,1,100.0%
93,94,Kendall Hinton,DEN,23,WR,1,0,1,9,13,0,1,0,0,0.0%,4,50.0%,1,12.5%
94,95,Jaquan Johnson,BUF,25,DB,14,0,1,1,13,0,0,0,0,0.0%,0,0.0%,0,0.0%
95,96,Tommy Townsend,KAN,24,P,16,0,1,1,13,0,0,0,0,0.0%,0,0.0%,0,0.0%
96,97,Isaiah McKenzie,BUF,25,WR,16,7,1,1,12,0,0,0,0,0.0%,0,0.0%,1,100.0%
97,98,Logan Woodside,TEN,25,QB,6,0,1,3,7,0,0,0,0,0.0%,1,33.3%,0,0.0%
98,99,Travis Kelce*+,KAN,31,TE,15,15,1,2,4,0,0,0,0,0.0%,0,0.0%,2,100.0%
99,100,Easton Stick,LAC,25,QB,1,0,1,1,4,0,0,0,0,0.0%,0,0.0%,1,100.0%
100,101,Joshua Dobbs,PIT,25,QB,1,0,4,5,2,0,1,0,0,0.0%,0,0.0%,4,100.0%
