"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Int","Rat"
"DAL",135,"CeeDee Lamb*+",24,"WR",181,1749,12,1,"124.3"
"MIA",119,"Tyreek Hill*+",29,"WR",171,1799,13,5,"117.1"
"DET",119,"Amon-Ra St. Brown*+",24,"WR",164,1515,10,3,"113.7"
"JAX",114,"Evan Engram*",29,"TE",143,963,4,3,"95.3"
"IND",109,"Michael Pittman Jr.",26,"WR",156,1152,4,6,"83.6"
"LAC",108,"Keenan Allen*",31,"WR",150,1243,7,2,"106.6"
"BUF",107,"Stefon Diggs*",30,"WR",160,1183,8,4,"94.9"
"PHI",106,"A.J. Brown*",26,"WR",158,1456,7,4,"100.6"
"LAR",105,"Puka Nacua*",22,"WR",160,1486,6,3,"100.2"
"LVR",103,"Davante Adams",31,"WR",175,1144,8,6,"79.3"
"CAR",103,"Adam Thielen",33,"WR",137,1014,4,1,"102.3"
"CIN",100,"Ja'Marr Chase*",23,"WR",145,1216,7,2,"104.8"
"CHI",96,"D.J. Moore",26,"WR",136,1364,8,3,"113.1"
"MIN",95,"T.J. Hockenson",26,"TE",127,960,5,1,"105.8"
"NYJ",95,"Garrett Wilson",23,"WR",168,1042,3,6,"66.1"
"KAN",93,"Travis Kelce*",34,"TE",121,984,5,2,"106.9"
"NOR",87,"Chris Olave",23,"WR",138,1123,5,3,"91.5"
"TAM",83,"Chris Godwin",27,"WR",130,1024,2,3,"83.6"
"ARI",81,"Trey McBride",24,"TE",106,825,3,4,"91.9"
"CLE",81,"David Njoku*",27,"TE",123,882,6,4,"89.5"
"HOU",80,"Nico Collins",24,"WR",109,1297,8,2,"129.6"
"SEA",79,"Tyler Lockett",31,"WR",122,894,5,4,"86.6"
"WAS",79,"Terry McLaurin",28,"WR",132,1002,4,4,"81.1"
"BAL",77,"Zay Flowers",23,"WR",108,858,5,1,"106.2"
"SFO",75,"Brandon Aiyuk",25,"WR",105,1342,7,3,"124"
"TEN",75,"DeAndre Hopkins",31,"WR",137,1057,7,6,"78.6"
"ATL",69,"Drake London",22,"WR",110,905,2,4,"79.5"
"GNB",64,"Jayden Reed",23,"WR",94,793,8,1,"117.9"
"PIT",63,"George Pickens",22,"WR",106,1140,5,3,"100.4"
"NYG",60,"Wan'Dale Robinson",22,"WR",78,525,1,0,"98.5"
"DEN",59,"Courtland Sutton",28,"WR",90,772,10,2,"120.2"
"NWE",51,"Ezekiel Elliott",28,"RB",65,313,2,0,"97"
"2TM",24,"Michael Carter",24,"RB",31,101,1,1,"77.5"
"3TM",5,"Deon Jackson",24,"RB",6,14,0,0,"79.2"
