"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Ctch%"
"NOR",149,"Michael Thomas*+",26,"WR",185,1725,9,"80.5%"
"CAR",116,"Christian McCaffrey*+",23,"RB",142,1005,4,"81.7%"
"LAC",104,"Keenan Allen*",27,"WR",149,1199,6,"69.8%"
"HOU",104,"DeAndre Hopkins*+",27,"WR",150,1165,7,"69.3%"
"NWE",100,"Julian Edelman",33,"WR",153,1117,6,"65.4%"
"ATL",99,"Julio Jones*",30,"WR",157,1394,6,"63.1%"
"CHI",98,"Allen Robinson",26,"WR",154,1147,7,"63.6%"
"KAN",97,"Travis Kelce*",30,"TE",136,1229,5,"71.3%"
"LAR",94,"Cooper Kupp",26,"WR",134,1161,10,"70.1%"
"CIN",90,"Tyler Boyd",25,"WR",148,1046,5,"60.8%"
"OAK",90,"Darren Waller",27,"TE",117,1145,3,"76.9%"
"PHI",88,"Zach Ertz*",29,"TE",135,916,6,"65.2%"
"TAM",86,"Chris Godwin*",23,"WR",121,1333,9,"71.1%"
"SFO",85,"George Kittle*+",26,"TE",107,1053,5,"79.4%"
"GNB",83,"Davante Adams*",27,"WR",127,997,5,"65.4%"
"CLE",83,"Jarvis Landry*",27,"WR",138,1174,6,"60.1%"
"SEA",82,"Tyler Lockett",27,"WR",110,1057,8,"74.5%"
"DAL",79,"Amari Cooper*",25,"WR",119,1189,8,"66.4%"
"NYJ",78,"Jamison Crowder",26,"WR",122,833,6,"63.9%"
"JAX",76,"Leonard Fournette",24,"RB",100,522,0,"76.0%"
"ARI",75,"Larry Fitzgerald",36,"WR",109,804,4,"68.8%"
"BUF",72,"John Brown",29,"WR",115,1060,6,"62.6%"
"MIA",72,"DeVante Parker",26,"WR",128,1202,9,"56.3%"
"DEN",72,"Courtland Sutton*",24,"WR",124,1112,6,"58.1%"
"2TM",66,"Emmanuel Sanders",32,"WR",97,869,5,"68.0%"
"DET",65,"Kenny Golladay*",26,"WR",116,1190,11,"56.0%"
"BAL",64,"Mark Andrews*",24,"TE",98,852,10,"65.3%"
"MIN",63,"Stefon Diggs",26,"WR",94,1130,6,"67.0%"
"PIT",59,"Diontae Johnson",23,"WR",92,680,5,"64.1%"
"WAS",58,"Terry McLaurin",24,"WR",93,919,7,"62.4%"
"NYG",57,"Sterling Shepard",26,"WR",83,576,3,"68.7%"
"TEN",52,"A.J. Brown",22,"WR",84,1051,8,"61.9%"
"IND",45,"T.Y. Hilton",30,"WR",68,501,5,"66.2%"
"3TM",8,"Trevor Davis",26,"WR",11,111,0,"72.7%"
