"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Int","Rat"
"MIN",128,"Justin Jefferson*+",23,"WR",184,1809,8,5,"104.2"
"MIA",119,"Tyreek Hill*+",28,"WR",170,1710,7,6,"101.3"
"KAN",110,"Travis Kelce*+",33,"TE",152,1338,12,3,"117.2"
"BUF",108,"Stefon Diggs*",29,"WR",154,1429,11,1,"120.3"
"LAC",107,"Austin Ekeler",27,"RB",127,722,5,0,"103.5"
"DAL",107,"CeeDee Lamb*",23,"WR",156,1359,9,4,"104.1"
"DET",106,"Amon-Ra St. Brown*",23,"WR",146,1161,6,1,"106.6"
"TAM",104,"Chris Godwin",26,"WR",142,1023,3,1,"97.2"
"LVR",100,"Davante Adams*+",30,"WR",180,1516,14,6,"95.5"
"IND",99,"Michael Pittman Jr.",25,"WR",141,925,4,3,"88.5"
"PHI",95,"DeVonta Smith",24,"WR",136,1196,7,1,"111"
"SEA",90,"D.K. Metcalf",25,"WR",141,1048,6,4,"88.6"
"CIN",87,"Ja'Marr Chase*",22,"WR",134,1046,9,4,"98.7"
"2TM",86,"T.J. Hockenson*",25,"TE",129,914,6,4,"89.7"
"PIT",86,"Diontae Johnson",26,"WR",147,882,0,6,"58.8"
"JAX",84,"Christian Kirk",26,"WR",133,1108,8,4,"96.9"
"NYJ",83,"Garrett Wilson",22,"WR",147,1103,4,1,"86.6"
"SFO",78,"Brandon Aiyuk",24,"WR",114,1015,8,1,"115.9"
"CLE",78,"Amari Cooper",28,"WR",132,1160,9,3,"101.2"
"WAS",77,"Terry McLaurin*",27,"WR",120,1191,5,2,"103.9"
"LAR",75,"Cooper Kupp",29,"WR",98,812,6,4,"103.8"
"BAL",73,"Mark Andrews*",27,"TE",113,847,5,3,"90.8"
"ATL",72,"Drake London",21,"WR",117,866,4,3,"84.9"
"NOR",72,"Chris Olave",22,"WR",119,1042,4,5,"82.7"
"NWE",69,"Rhamondre Stevenson",24,"RB",88,421,1,0,"90.4"
"ARI",67,"Marquise Brown",25,"WR",107,709,3,7,"64"
"DEN",67,"Jerry Jeudy",23,"WR",100,972,6,2,"110.1"
"CAR",63,"D.J. Moore",25,"WR",118,888,7,5,"80"
"GNB",60,"Allen Lazard",27,"WR",100,788,6,5,"84.1"
"NYG",57,"Saquon Barkley*",25,"RB",76,338,0,1,"77.6"
"HOU",57,"Brandin Cooks",29,"WR",93,699,3,4,"77.3"
"NYG",57,"Richie James",27,"WR",70,569,4,0,"119.6"
"TEN",53,"Robert Woods",30,"WR",91,527,2,3,"68.3"
"CHI",50,"Cole Kmet",23,"TE",69,544,7,4,"105"
"3TM",25,"Eno Benjamin",23,"RB",34,193,0,0,"87"
