"Tm","Player","Pos","Age","Tgt","Rec","Yds","TD","Int","Rat"
"LAR","Cooper Kupp*+","WR",28,191,145,1947,16,5,"124.8"
"GNB","Davante Adams*+","WR",29,169,123,1553,11,3,"115.3"
"KAN","Tyreek Hill*","WR",27,159,111,1239,9,3,"103.7"
"MIN","Justin Jefferson*","WR",22,167,108,1616,10,2,"111.3"
"BAL","Mark Andrews*+","TE",26,153,107,1361,9,9,"92.5"
"PIT","Diontae Johnson*","WR",25,169,107,1161,8,3,"91.9"
"LAC","Keenan Allen*","WR",29,157,106,1138,6,5,"88"
"MIA","Jaylen Waddle","WR",23,140,104,1015,6,7,"87.6"
"BUF","Stefon Diggs*","WR",28,164,103,1225,10,6,"90.6"
"LVR","Hunter Renfrow*","WR",26,128,103,1038,9,1,"120.6"
"TAM","Chris Godwin","WR",25,127,98,1103,5,2,"109.1"
"CAR","D.J. Moore","WR",24,163,93,1157,4,6,"72"
"HOU","Brandin Cooks","WR",28,134,90,1037,6,3,"95.9"
"DET","Amon-Ra St. Brown","WR",22,119,90,912,5,2,"104"
"IND","Michael Pittman Jr.","WR",24,129,88,1082,6,3,"99.7"
"NWE","Jakobi Meyers","WR",25,126,83,866,2,3,"81"
"CIN","Ja'Marr Chase*","WR",21,128,81,1455,13,6,"116.5"
"CHI","Darnell Mooney","WR",24,140,81,1055,4,8,"67.4"
"DAL","CeeDee Lamb*","WR",22,120,79,1102,6,6,"91"
"ARI","Christian Kirk","WR",25,103,77,982,5,2,"112.2"
"WAS","Terry McLaurin","WR",26,130,77,1053,5,4,"85.2"
"SFO","Deebo Samuel*+","WR",25,121,77,1405,6,4,"106.2"
"SEA","D.K. Metcalf","WR",24,129,75,967,12,2,"106.3"
"2TM","Zach Ertz","TE",31,112,74,763,5,4,"85.5"
"JAX","Marvin Jones","WR",31,120,73,832,4,3,"82.4"
"ATL","Kyle Pitts*","TE",21,110,68,1026,1,5,"76.6"
"PHI","DeVonta Smith","WR",23,104,64,916,5,1,"102.1"
"TEN","A.J. Brown","WR",24,105,63,869,5,2,"94.5"
"DEN","Courtland Sutton","WR",26,98,58,776,2,3,"78.4"
"CLE","Jarvis Landry","WR",29,87,52,570,2,5,"62.9"
"NOR","Marquez Callaway","WR",23,84,46,698,6,1,"101.2"
"NYJ","Elijah Moore","WR",21,77,43,538,5,4,"77.7"
"NYG","Kenny Golladay","WR",28,76,37,521,0,3,"54.8"
"3TM","Phillip Dorsett","WR",28,14,7,110,0,0,"76.5"
