"Tm","Rec","Player","Age","Pos","Tgt","Yds","TD","Int","Rat"
"NOR",149,"Michael Thomas*+",26,"WR",185,1725,9,0,"121.7"
"CAR",116,"Christian McCaffrey*+",23,"RB",142,1005,4,2,"99.7"
"LAC",104,"Keenan Allen*",27,"WR",149,1199,6,8,"84.8"
"HOU",104,"DeAndre Hopkins*+",27,"WR",150,1165,7,1,"105"
"NWE",100,"Julian Edelman",33,"WR",153,1117,6,3,"91.9"
"ATL",99,"Julio Jones*",30,"WR",157,1394,6,5,"91.1"
"CHI",98,"Allen Robinson",26,"WR",154,1147,7,4,"90.5"
"KAN",97,"Travis Kelce*",30,"TE",136,1229,5,0,"111.4"
"LAR",94,"Cooper Kupp",26,"WR",134,1161,10,2,"115.3"
"CIN",90,"Tyler Boyd",25,"WR",148,1046,5,6,"76.6"
"OAK",90,"Darren Waller",27,"TE",117,1145,3,2,"108.4"
"PHI",88,"Zach Ertz*",29,"TE",135,916,6,1,"96.4"
"TAM",86,"Chris Godwin*",23,"WR",121,1333,9,5,"114.8"
"SFO",85,"George Kittle*+",26,"TE",107,1053,5,1,"119.4"
"GNB",83,"Davante Adams*",27,"WR",127,997,5,1,"99.1"
"CLE",83,"Jarvis Landry*",27,"WR",138,1174,6,8,"78"
"SEA",82,"Tyler Lockett",27,"WR",110,1057,8,1,"124.7"
"DAL",79,"Amari Cooper*",25,"WR",119,1189,8,2,"114.4"
"NYJ",78,"Jamison Crowder",26,"WR",122,833,6,5,"83.1"
"JAX",76,"Leonard Fournette",24,"RB",100,522,0,1,"83"
"ARI",75,"Larry Fitzgerald",36,"WR",109,804,4,4,"87.1"
"BUF",72,"John Brown",29,"WR",115,1060,6,3,"99.2"
"MIA",72,"DeVante Parker",26,"WR",128,1202,9,4,"98.5"
"DEN",72,"Courtland Sutton*",24,"WR",124,1112,6,2,"97.2"
"2TM",66,"Emmanuel Sanders",32,"WR",97,869,5,7,"83.2"
"DET",65,"Kenny Golladay*",26,"WR",116,1190,11,5,"105.2"
"BAL",64,"Mark Andrews*",24,"TE",98,852,10,3,"114"
"MIN",63,"Stefon Diggs",26,"WR",94,1130,6,5,"107.1"
"PIT",59,"Diontae Johnson",23,"WR",92,680,5,2,"95.4"
"WAS",58,"Terry McLaurin",24,"WR",93,919,7,1,"115.8"
"NYG",57,"Sterling Shepard",26,"WR",83,576,3,4,"80.2"
"TEN",52,"A.J. Brown",22,"WR",84,1051,8,2,"127.6"
"IND",45,"T.Y. Hilton",30,"WR",68,501,5,1,"106.3"
"3TM",8,"Trevor Davis",26,"WR",11,111,0,0,"104.7"
