"Tm","Player","Pos","Age","Tgt","Rec","Yds","TD","Int","Rat"
"NOR","Michael Thomas*+","WR",26,185,149,1725,9,0,"121.7"
"CAR","Christian McCaffrey*+","RB",23,142,116,1005,4,2,"99.7"
"LAC","Keenan Allen*","WR",27,149,104,1199,6,8,"84.8"
"HOU","DeAndre Hopkins*+","WR",27,150,104,1165,7,1,"105"
"NWE","Julian Edelman","WR",33,153,100,1117,6,3,"91.9"
"ATL","Julio Jones*","WR",30,157,99,1394,6,5,"91.1"
"CHI","Allen Robinson","WR",26,154,98,1147,7,4,"90.5"
"KAN","Travis Kelce*","TE",30,136,97,1229,5,0,"111.4"
"CIN","Tyler Boyd","WR",25,148,90,1046,5,6,"76.6"
"OAK","Darren Waller","TE",27,117,90,1145,3,2,"108.4"
"LAR","Robert Woods","WR",27,139,90,1134,2,6,"76.8"
"PHI","Zach Ertz*","TE",29,135,88,916,6,1,"96.4"
"TAM","Chris Godwin*","WR",23,121,86,1333,9,5,"114.8"
"SFO","George Kittle*+","TE",26,107,85,1053,5,1,"119.4"
"GNB","Davante Adams*","WR",27,127,83,997,5,1,"99.1"
"CLE","Jarvis Landry*","WR",27,138,83,1174,6,8,"78"
"SEA","Tyler Lockett","WR",27,110,82,1057,8,1,"124.7"
"DAL","Amari Cooper*","WR",25,119,79,1189,8,2,"114.4"
"NYJ","Jamison Crowder","WR",26,122,78,833,6,5,"83.1"
"ARI","Larry Fitzgerald","WR",36,109,75,804,4,4,"87.1"
"JAX","DJ Chark*","WR",23,118,73,1008,8,2,"104.8"
"BUF","John Brown","WR",29,115,72,1060,6,3,"99.2"
"MIA","DeVante Parker","WR",26,128,72,1202,9,4,"98.5"
"DEN","Courtland Sutton*","WR",24,124,72,1112,6,2,"97.2"
"2TM","Emmanuel Sanders","WR",32,97,66,869,5,7,"83.2"
"DET","Kenny Golladay*","WR",26,116,65,1190,11,5,"105.2"
"BAL","Mark Andrews*","TE",24,98,64,852,10,3,"114"
"MIN","Stefon Diggs","WR",26,94,63,1130,6,5,"107.1"
"PIT","Diontae Johnson","WR",23,92,59,680,5,2,"95.4"
"WAS","Terry McLaurin","WR",24,93,58,919,7,1,"115.8"
"TEN","A.J. Brown","WR",22,84,52,1051,8,2,"127.6"
"NYG","Golden Tate","WR",31,85,49,676,6,4,"87.2"
"IND","Jack Doyle*","TE",29,72,43,448,4,2,"84.7"
"IND","Zach Pascal","WR",25,72,41,607,5,4,"84.7"
"3TM","Trevor Davis","WR",26,11,8,111,0,0,"104.7"
