"Tm","Player","Pos","Age","Tgt","Rec","Yds","TD","Int","Rat"
"DAL","CeeDee Lamb*+","WR",24,181,135,1749,12,1,"124.3"
"MIA","Tyreek Hill*+","WR",29,171,119,1799,13,5,"117.1"
"DET","Amon-Ra St. Brown*+","WR",24,164,119,1515,10,3,"113.7"
"JAX","Evan Engram*","TE",29,143,114,963,4,3,"95.3"
"IND","Michael Pittman Jr.","WR",26,156,109,1152,4,6,"83.6"
"LAC","Keenan Allen*","WR",31,150,108,1243,7,2,"106.6"
"BUF","Stefon Diggs*","WR",30,160,107,1183,8,4,"94.9"
"PHI","A.J. Brown*","WR",26,158,106,1456,7,4,"100.6"
"LAR","Puka Nacua*","WR",22,160,105,1486,6,3,"100.2"
"LVR","Davante Adams","WR",31,175,103,1144,8,6,"79.3"
"CAR","Adam Thielen","WR",33,137,103,1014,4,1,"102.3"
"CIN","Ja'Marr Chase*","WR",23,145,100,1216,7,2,"104.8"
"CHI","D.J. Moore","WR",26,136,96,1364,8,3,"113.1"
"MIN","T.J. Hockenson","TE",26,127,95,960,5,1,"105.8"
"NYJ","Garrett Wilson","WR",23,168,95,1042,3,6,"66.1"
"KAN","Travis Kelce*","TE",34,121,93,984,5,2,"106.9"
"NOR","Chris Olave","WR",23,138,87,1123,5,3,"91.5"
"ARI","Trey McBride","TE",24,106,81,825,3,4,"91.9"
"HOU","Nico Collins","WR",24,109,80,1297,8,2,"129.6"
"TAM","Mike Evans*","WR",30,136,79,1255,13,3,"111.6"
"SEA","Tyler Lockett","WR",31,122,79,894,5,4,"86.6"
"WAS","Terry McLaurin","WR",28,132,79,1002,4,4,"81.1"
"BAL","Zay Flowers","WR",23,108,77,858,5,1,"106.2"
"SFO","Brandon Aiyuk","WR",25,105,75,1342,7,3,"124"
"TEN","DeAndre Hopkins","WR",31,137,75,1057,7,6,"78.6"
"CLE","Amari Cooper*","WR",29,128,72,1250,5,6,"83.1"
"ATL","Drake London","WR",22,110,69,905,2,4,"79.5"
"PIT","George Pickens","WR",22,106,63,1140,5,3,"100.4"
"GNB","Romeo Doubs","WR",23,96,59,674,8,3,"97.3"
"DEN","Courtland Sutton","WR",28,90,59,772,10,2,"120.2"
"NYG","Darius Slayton","WR",26,79,50,770,4,2,"101.8"
"NWE","Demario Douglas","WR",23,79,49,561,0,4,"62.3"
"2TM","Van Jefferson","WR",27,43,20,209,0,4,"22.3"
"3TM","Deon Jackson","RB",24,6,5,14,0,0,"79.2"
